category1,category2,rank,price,Publisher,ISBN10,ISBN13,ASIN,OtherRanks
" Nursing ","Women's Health, Obstetrics & Gynecology",46,"$53.60 ","Pearson; 3 edition (March 5, 2012)"," 0132956861"," 978-0132956864",,"#103,385 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",47,"$47.27 ","Wiley-Blackwell; 4 edition (May 1, 2017)"," 111917046X"," 978-1119170464",,"#107,218 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",48,"$2.66 ","Pitman Medical; 2nd Revised edition edition (September 2, 1980)"," 0272795836"," 978-0272795835",,"#107,725 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",49,"$25.42 ","LWW; Third edition (October 7, 2016)"," 1451194013"," 978-1451194012",,"#113,040 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",50,"$1.99 ","F.A. Davis Company; 1 edition (April 30, 2010)"," 0803620586"," 978-0803620582",,"#114,869 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",51,"$2.99 ",,,," B014B6KFN0","#126,964 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",52,"$150.00 ","Mosby; 6 edition (October 16, 2017)"," 0323549381"," 978-0323549387",,"#120,013 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",53,"$51.97 ","F.A. Davis Company; 1 edition (September 23, 2016)"," 0803624948"," 978-0803624948",,"#120,860 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",54,"$3.99 ","Cherry Hinton Limited (February 18, 2015)",,," B00TRWJWV0","#137,199 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",55,"$57.27 ","Mometrix Media LLC; 1 Stg edition (February 14, 2013)"," 1609719786"," 978-1609719784",,"#136,057 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",56,"$28.68 ","LWW; Fourth edition (September 22, 2016)"," 145119398X"," 978-1451193985",,"#136,746 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",57,"$15.27 ","Phoenix; Reprint edition (2012)"," 1780224923"," 978-1780224923",,"#139,967 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",58,"$42.98 ","Springer Publishing Company; 1 edition (July 27, 2017)"," 0826166687"," 978-0826166685",,"#140,238 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",59,"$57.77 ","LWW; Second edition (March 27, 2009)"," 0781790999"," 978-0781790994",,"#143,584 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",60,"$9.96 ","Mosby; 4 edition (October 8, 2009)"," 0323057209"," 978-0323057202",,"#143,679 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",61,"$93.01 ","Mosby; 5 edition (June 9, 2015)"," 0323287638"," 978-0323287630",,"#154,040 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",62,"$70.00 ","Jones & Bartlett Learning; 2nd edition (September 1, 2011)"," 0763756377"," 978-0763756376",,"#154,111 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",63,"$77.25 ","F.A. Davis Company; 2 edition (June 3, 2015)"," 0803636652"," 978-0803636651",,"#154,128 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",64,"$58.68 ","Springer Publishing Company; 11 edition (October 28, 2015)"," 0826122825"," 978-0826122827",,"#155,458 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",65,"$32.45 ","Springer Publishing Company; 1 edition (December 23, 2013)"," 0826168868"," 978-0826168863",,"#157,584 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",66,"$43.16 ","Saunders; 5 edition (March 8, 2017)"," 0323478697"," 978-0323478694",,"#159,517 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",67,"$36.62 ","Saunders; 6 edition (March 12, 2014)",,," B00H8P6NO2","#167,788 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",68,"$2.99 ","Telemachus Press, LLC (November 22, 2012)",,," B00AC4XXAS","#169,060 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",69,"$150.99 ","LWW; 8 edition (December 2, 2017)"," 1496348133"," 978-1496348135",,"#167,900 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",70,"$58.95 ","Jones & Bartlett Learning; 3 edition (January 5, 2015)",,," B00SBOI32Y","#169,987 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",71,"$14.25 ","Beacon Press; 1 edition (March 20, 2012)"," 0807001716"," 978-0807001714",,"#168,880 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",72,"$17.50 ","POP Publishing & Distribution; 2 edition (September 21, 2012)"," 0985535601"," 978-0985535605",,"#169,148 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",73,"$27.47 ","F.A. Davis Company; 3 edition (October 5, 2016)"," 080365863X"," 978-0803658639",,"#170,749 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",74,"$6.99 ","Ballantine Books; Revised, Updated edition (May 24, 2011)",,," B0036S4BWG","#172,515 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",75,"$30.76 ","Jones & Bartlett Learning; 4th edition (June 9, 2009)"," 0763754323"," 978-0763754327",,"#172,211 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",76,"$112.94 ","LWW; 7 edition (November 25, 2013)",,," B00TGA4USI","#176,253 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",77,"$2.92 ","Saunders; 5 edition (October 12, 2009)"," 1437702597"," 978-1437702590",,"#177,501 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",78,"$53.78 ","Mosby; 5 edition (June 7, 2010)"," 0323072534"," 978-0323072533",,"#178,021 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",79,"$140.69 ","Jones & Bartlett Learning; 5 edition (November 4, 2013)"," 1284025411"," 978-1284025415",,"#182,685 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",80,"$31.23 ","Jones & Bartlett Learning; 3 edition (July 16, 2010)"," 1449603467"," 978-1449603465",,"#183,745 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",81,"$166.95 ","Jones & Bartlett Learning; 5 edition (July 26, 2010)"," 0763780529"," 978-0763780524",,"#186,688 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",82,"$30.96 ","F.A. Davis Company; 1 edition (January 15, 2010)"," 0803621787"," 978-0803621787",,"#188,848 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",83,"$54.52 ","Pearson; 5 edition (March 27, 2016)"," 0134257006"," 978-0134257006",,"#190,018 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",84,"$15.55 ","Sentient Publications (February 16, 2009)"," 1591810779"," 978-1591810773",,"#190,392 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",85,"$4.00 ","McGraw-Hill; 5 edition (September 24, 2008)"," 0071546057"," 978-0071546058",,"#190,659 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",86,"$37.63 ","Books for Midwives; 1 edition (October 22, 2003)"," 0750655232"," 978-0750655231",,"#192,038 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",87,"$95.00 ","KENDALL/HUNT PUBLISHING CO; 5 edition (June 15, 2015)"," 1465269703"," 978-1465269706",,"#194,443 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",88,"$51.09 ","Mosby; 5 edition (May 24, 2010)",,," B0051HK6B0","#189,951 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",89,"$78.00 ","AORN, INC.; 1 edition (1717)"," 1888460172"," 978-1888460179",,"#197,478 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",90,"$36.02 ","Routledge; 2 edition (December 10, 2011)"," 0415577322"," 978-0415577328",,"#201,008 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",91,"$45.31 ","Books for Midwives; 2 edition (June 27, 2001)"," 0750652322"," 978-0750652322",,"#203,303 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",92,"$20.96 ","Mosby; 1 edition (December 12, 2011)"," 032308351X"," 978-0323083515",,"#208,449 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",93,"$2.99 ","LWW; Har/Cdr edition (October 3, 2008)"," 0781780551"," 978-0781780551",,"#208,655 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",94,"$20.21 ","Waveland Press, Inc.; 4 edition (November 1, 1992)",,," B00H85T736","#201,022 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",95,"$33.31 ","Mosby; 11 edition (February 10, 2015)"," 0323265588"," 978-0323265584",,"#219,902 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",96,"$14.72 ","Mosby; 1 edition (September 5, 2014)",,," B00QLTS9D4","#210,859 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Nursing ","Women's Health, Obstetrics & Gynecology",97,"$147.99 ","Lippincott Williams & Wilkins; Second edition (November 27, 2012)"," 1609137477"," 978-1609137472",,"#227,480 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",98,"$7.40 ","KENDALL/HUNT PUBLISHING CO; 5 edition (August 15, 2010)"," 0757577857"," 978-0757577857",,"#228,904 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",99,"$75.47 ","Jones & Bartlett Learning; 2 edition (September 24, 2015)"," 1284057488"," 978-1284057485",,"#230,595 in Books (See Top 100 in Books)"
" Nursing ","Women's Health, Obstetrics & Gynecology",100,"$0.99 ","Lovely_Home (November 13, 2017)",,," B077F2QHWB","#215,135 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,1,"$0.00 with Trial ","Tantor Audio",,," B000K2VB88",
" Pharmacology ",,2,"$0.00 with Trial ",HarperAudio,,," B01N2HREQU",
" Pharmacology ",,3,"$26.94 ","LWW; Thirty-Eighth edition (May 5, 2017)"," 1496353595"," 978-1496353597",,"#2,366 in Books (See Top 100 in Books)"
" Pharmacology ",,4,"$15.99 ","Sourcebooks; 1 edition (April 18, 2017)",,," B01N7KMS7X","#4,573 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,5,"$27.89 ","F.A. Davis Company; 15 edition (May 25, 2016)"," 0803657056"," 978-0803657052",,"#3,009 in Books (See Top 100 in Books)"
" Pharmacology ",,6,"$89.60 ","LWW; Fourth edition (August 17, 2016)"," 1496319966"," 978-1496319968",,"#4,315 in Books (See Top 100 in Books)"
" Pharmacology ",,7,"$19.03 ","Dey Street Books (February 21, 2017)"," 0062429655"," 978-0062429650",,"#5,346 in Books (See Top 100 in Books)"
" Pharmacology ",,8,"$18.35 ","Sourcebooks; 1 edition (April 18, 2017)"," 149264935X"," 978-1492649359",,"#5,634 in Books (See Top 100 in Books)"
" Pharmacology ",,9,"$8.66 ","Harper Perennial Modern Classics (July 28, 2009)"," 0061729078"," 978-0061729072",,"#6,017 in Books (See Top 100 in Books)"
" Pharmacology ",,10,"$12.65 ","LWW; Sixth edition (October 11, 2017)"," 1496371933"," 978-1496371935",,"#6,531 in Books (See Top 100 in Books)"
" Pharmacology ",,11,"$14.99 ","Dey Street Books (February 21, 2017)",,," B01GCCT3G6","#11,709 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,12,"$28.00 ","Ten Speed Press; First edition (October 1, 2005)"," 1580085792"," 978-1580085793",,"#7,362 in Books (See Top 100 in Books)"
" Pharmacology ",,13,"$17.82 ","Tarascon; 31 edition (November 25, 2016)"," 1284118991"," 978-1284118995",,"#7,590 in Books (See Top 100 in Books)"
" Pharmacology ",,14,"$10.59 ","Kaplan Publishing; 7 edition (August 1, 2017)"," 1506223478"," 978-1506223476",,"#8,475 in Books (See Top 100 in Books)"
" Pharmacology ",,15,"$96.84 ","Saunders; 9 edition (February 12, 2015)"," 0323321909"," 978-0323321907",,"#10,370 in Books (See Top 100 in Books)"
" Pharmacology ",,16,"$0.00 with Trial ","HighBridge, a Division of Recorded Books",,," B06ZY3XXYV",
" Pharmacology ",,17,"$6.60 ","QuickStudy; 1 edition (August 21, 2008)"," 1423205960"," 978-1423205968",,"#10,920 in Books (See Top 100 in Books)"
" Pharmacology ",,18,"$27.63 ","F.A. Davis Company; 2 edition (January 25, 2013)"," 080362994X"," 978-0803629943",,"#11,029 in Books (See Top 100 in Books)"
" Pharmacology ",,19,"$16.99 ","Barron's Educational Series; 1 edition (May 15, 2016)"," 1438007272"," 978-1438007274",,"#11,526 in Books (See Top 100 in Books)"
" Pharmacology ",,20,"$22.97 ","Black Dog & Leventhal; Revised, Updated edition (November 14, 2017)"," 031646418X"," 978-0316464185",,"#11,851 in Books (See Top 100 in Books)"
" Pharmacology ",,21,"$12.00 ","MedMaster Inc; 8 edition (January 1, 2016)"," 1935660179"," 978-1935660170",,"#12,114 in Books (See Top 100 in Books)"
" Pharmacology ",,22,"$37.99 ","Ascencia Test Prep (July 5, 2017)"," 1635301483"," 978-1635301489",,"#12,383 in Books (See Top 100 in Books)"
" Pharmacology ",,23,"$0.00 with Trial ","Tantor Audio",,," B01N0TBFRH",
" Pharmacology ",,24,"$37.99 ","Antimicrobial Therapy; 47 edition (April 1, 2017)"," 1944272011"," 978-1944272012",,"#13,376 in Books (See Top 100 in Books)"
" Pharmacology ",,25,"$23.37 ","Mosby; 4 edition (May 27, 2014)"," 0323289541"," 978-0323289542",,"#13,678 in Books (See Top 100 in Books)"
" Pharmacology ",,26,"$83.95 ","F.A. Davis Company; 4 edition (August 3, 2015)"," 0803638272"," 978-0803638273",,"#13,741 in Books (See Top 100 in Books)"
" Pharmacology ",,27,"$34.23 ","Kaplan Publishing (November 7, 2017)"," 1506228860"," 978-1506228860",,"#13,951 in Books (See Top 100 in Books)"
" Pharmacology ",,28,"$53.61 ","LWW; 6 edition (August 14, 2014)"," 1451191774"," 978-1451191776",,"#14,556 in Books (See Top 100 in Books)"
" Pharmacology ",,29,"$0.00 with Trial ","Tony Guerra",,," B01FSR7XZO",
" Pharmacology ",,30,"$12.18 ","Broadway Books; 1 edition (August 2, 2011)"," 0307452425"," 978-0307452429",,"#17,037 in Books (See Top 100 in Books)"
" Pharmacology ",,31,"$14.36 ","Penguin Books; Reprint edition (January 25, 2011)"," 014311882X"," 978-0143118824",,"#17,049 in Books (See Top 100 in Books)"
" Pharmacology ",,32,"$97.91 ","Mosby; 8 edition (December 29, 2015)"," 0323358284"," 978-0323358286",,"#17,095 in Books (See Top 100 in Books)"
" Pharmacology ",,33,"$35.64 ","LWW; Fourth edition (August 2, 2016)"," 1496326326"," 978-1496326324",,"#17,201 in Books (See Top 100 in Books)"
" Pharmacology ",,34,"$14.92 ","North Atlantic Books; 1 edition (October 31, 2017)"," 1623171830"," 978-1623171834",,"#17,356 in Books (See Top 100 in Books)"
" Pharmacology ",,35,"$8.99 ","CreateSpace Independent Publishing Platform; 1 edition (February 18, 2015)"," 1508528160"," 978-1508528166",,"#17,579 in Books (See Top 100 in Books)"
" Pharmacology ",,36,"$20.41 ","Antimicrobial Therapy; 46 edition (April 1, 2016)"," 1930808917"," 978-1930808911",,"#17,606 in Books (See Top 100 in Books)"
" Pharmacology ",,37,"$111.34 ","Pearson; 3 edition (February 1, 2015)"," 0133923614"," 978-0133923612",,"#17,796 in Books (See Top 100 in Books)"
" Pharmacology ",,38,"$37.57 ","Mosby; 31 edition (June 5, 2017)"," 032353192X"," 978-0323531924",,"#18,747 in Books (See Top 100 in Books)"
" Pharmacology ",,39,"$11.99 ","Ten Speed Press (March 9, 2011)",,," B004GTLKEG","#26,781 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,40,"$74.43 ","Mosby; 6 edition (October 8, 2013)"," 0323089313"," 978-0323089319",,"#19,609 in Books (See Top 100 in Books)"
" Pharmacology ",,41,"$86.02 ","Churchill Livingstone; 2 edition (November 6, 2013)"," 0443062412"," 978-0443062414",,"#19,651 in Books (See Top 100 in Books)"
" Pharmacology ",,42,"$68.27 ","PDR Network; 71 edition (December 13, 2016)"," 156363838X"," 978-1563638381",,"#19,819 in Books (See Top 100 in Books)"
" Pharmacology ",,43,"$47.45 ","Mosby; 34 edition (July 27, 2017)"," 0323297404"," 978-0323297400",,"#23,643 in Books (See Top 100 in Books)"
" Pharmacology ",,44,"$31.92 ","Jones & Bartlett Learning; 4 edition (December 5, 2016)"," 1284111296"," 978-1284111293",,"#23,727 in Books (See Top 100 in Books)"
" Pharmacology ",,45,"$74.67 ","Mosby; 17 edition (March 17, 2016)"," 0323311121"," 978-0323311120",,"#24,031 in Books (See Top 100 in Books)"
" Pharmacology ",,46,"$38.86 ","New Harbinger Publications; 8 edition (March 1, 2017)"," 1626259259"," 978-1626259256",,"#24,047 in Books (See Top 100 in Books)"
" Pharmacology ",,47,"$9.95 ","CreateSpace Independent Publishing Platform; 1st edition (May 9, 2014)"," 1499533357"," 978-1499533354",,"#24,612 in Books (See Top 100 in Books)"
" Pharmacology ",,48,"$6.95 ","QuickStudy; 1 edition (May 31, 2011)"," 1423216555"," 978-1423216551",,"#25,661 in Books (See Top 100 in Books)"
" Pharmacology ",,49,"$83.33 ","Delmar Cengage Learning; 9 edition (January 1, 2012)"," 1439058474"," 978-1439058473",,"#25,747 in Books (See Top 100 in Books)"
" Pharmacology ",,50,"$9.95 ","Peter Pauper Press; 3rd edition (August 1, 2011)"," 1441306110"," 978-1441306111",,"#26,040 in Books (See Top 100 in Books)"
" Pharmacology ",,51,"$14.18 ","Kaplan Publishing; Sixth edition (August 4, 2015)"," 1625231148"," 978-1625231147",,"#26,338 in Books (See Top 100 in Books)"
" Pharmacology ",,52,"$17.98 ","North Atlantic Books; 1 edition (December 1, 2015)"," 1583949623"," 978-1583949627",,"#26,440 in Books (See Top 100 in Books)"
" Pharmacology ",,53,"$23.70 ","MedMaster Inc; 4 edition (July 1, 2015)"," 1935660004"," 978-1935660002",,"#26,566 in Books (See Top 100 in Books)"
" Pharmacology ",,54,"$43.52 ","Apothecary Press; 9th Edition edition (August 10, 2016)"," 0967633281"," 978-0967633282",,"#26,817 in Books (See Top 100 in Books)"
" Pharmacology ",,55,"$35.00 ","F.A. Davis Company; 14 edition (June 5, 2014)"," 0803639767"," 978-0803639768",,"#27,539 in Books (See Top 100 in Books)"
" Pharmacology ",,56,"$2.99 ",,,," B01AP9869M","#38,372 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,57,"$2.99 ",,,," B017GP1O5Q","#38,714 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,58,"$35.38 ","Kaplan Publishing; Pap/Psc edition (February 2, 2016)"," 1506200907"," 978-1506200903",,"#28,979 in Books (See Top 100 in Books)"
" Pharmacology ",,59,"$9.89 ","CreateSpace Independent Publishing Platform (October 10, 2017)"," 1978110154"," 978-1978110151",,"#29,032 in Books (See Top 100 in Books)"
" Pharmacology ",,60,"$44.39 ","LWW; Tenth edition (February 28, 2013)"," 1609137116"," 978-1609137113",,"#29,695 in Books (See Top 100 in Books)"
" Pharmacology ",,61,"$24.95 ","F.A. Davis Company; 2 edition (March 24, 2014)"," 0803639058"," 978-0803639058",,"#30,030 in Books (See Top 100 in Books)"
" Pharmacology ",,62,"$6.99 ","Broadway Books; 1 edition (March 31, 2010)",,," B0036S4EGE","#40,768 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,63,"$34.96 ","LWW; Seventh edition (March 29, 2013)"," 9781451144314"," 978-1451144314"," 1451144318","#30,628 in Books (See Top 100 in Books)"
" Pharmacology ",,64,"$15.06 ","PESI Publishing & Media; 3 edition (July 1, 2015)"," 1559570210"," 978-1559570213",,"#32,198 in Books (See Top 100 in Books)"
" Pharmacology ",,65,"$35.29 ","LWW; Sixth edition (March 3, 2015)"," 1451193963"," 978-1451193961",,"#33,151 in Books (See Top 100 in Books)"
" Pharmacology ",,66,"$102.38 ","Pearson; 5 edition (January 14, 2016)"," 013425516X"," 978-0134255163",,"#33,240 in Books (See Top 100 in Books)"
" Pharmacology ",,67,"$65.64 ","McGraw-Hill Education / Medical; 14 edition (November 30, 2017)"," 1259641155"," 978-1259641152",,"#33,254 in Books (See Top 100 in Books)"
" Pharmacology ",,68,"$32.40 ","Mosby; 17 edition (March 17, 2016)"," 0323396119"," 978-0323396110",,"#33,272 in Books (See Top 100 in Books)"
" Pharmacology ",,69,"$0.99 ","Halcyon Publishing (December 18, 2016)",,," B01MRZ2AAO","#43,978 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,70,"$5.99 ","Penguin Books; Reprint edition (January 25, 2011)",,," B004P1JDM6","#44,273 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,71,"$24.69 ","Tarascon; 18 edition (December 23, 2016)"," 1284118975"," 978-1284118971",,"#33,972 in Books (See Top 100 in Books)"
" Pharmacology ",,72,"$12.74 ","Rodale Books; 1 edition (November 5, 2005)"," 159486294X"," 978-1594862946",,"#34,146 in Books (See Top 100 in Books)"
" Pharmacology ",,73,"$49.12 ","Mosby; 3 edition (October 7, 2013)"," 0323113370"," 978-0323113373",,"#34,437 in Books (See Top 100 in Books)"
" Pharmacology ",,74,"$1.99 ",,,," B00O2BBR8C","#45,245 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,75,"$6.95 ","QuickStudy; 1 edition (May 31, 2012)"," 1423218728"," 978-1423218722",,"#34,810 in Books (See Top 100 in Books)"
" Pharmacology ",,76,"$43.70 ","F.A. Davis Company; 5 edition (April 10, 2015)"," 0803640293"," 978-0803640290",,"#35,744 in Books (See Top 100 in Books)"
" Pharmacology ",,77,"$30.83 ","Mometrix Media LLC; Stg edition (March 15, 2016)"," 1610727991"," 978-1610727990",,"#35,777 in Books (See Top 100 in Books)"
" Pharmacology ",,78,"$0.99 ",,,," B01EDBCC3E","#46,595 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,79,"$66.72 ","Mosby; 10 edition (February 13, 2015)"," 0323310699"," 978-0323310697",,"#36,500 in Books (See Top 100 in Books)"
" Pharmacology ",,80,"$28.97 ","Delmar Cengage Learning; 6 edition (June 24, 2010)"," 1435480333"," 978-1435480339",,"#36,921 in Books (See Top 100 in Books)"
" Pharmacology ",,81,"$33.39 ","Saunders; 1 edition (April 4, 2017)"," 0323525091"," 978-0323525091",,"#37,321 in Books (See Top 100 in Books)"
" Pharmacology ",,82,"$5.78 ","Borm Bruckmeier Pub Llc; 1 edition (July 1, 2015)"," 1591035104"," 978-1591035107",,"#37,409 in Books (See Top 100 in Books)"
" Pharmacology ",,83,"$8.98 ","Picador; Reprint edition (February 3, 2015)"," 1250069270"," 978-1250069276",,"#37,564 in Books (See Top 100 in Books)"
" Pharmacology ",,84,"$17.70 ","Twelve (December 5, 2017)"," 1455571997"," 978-1455571994",,"#38,111 in Books (See Top 100 in Books)"
" Pharmacology ",,85,"$100.90 ","Saunders; 8 edition (February 13, 2014)"," 1455751480"," 978-1455751488",,"#38,420 in Books (See Top 100 in Books)"
" Pharmacology ",,86,"$33.25 ","Saunders; 9 edition (February 20, 2015)"," 032332259X"," 978-0323322591",,"#38,809 in Books (See Top 100 in Books)"
" Pharmacology ",,87,"$2.99 ",,,," B00L1SY3OY","#50,174 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,88,"$11.40 ","Farrar, Straus and Giroux; Subsequent edition (March 25, 1991)"," 0571161162"," 978-0571161164",,"#39,369 in Books (See Top 100 in Books)"
" Pharmacology ",,89,"$0.00 with Trial ","Audible Studios",,," B003N44KLA",
" Pharmacology ",,90,"$75.74 ","Saunders; 7 edition (September 25, 2014)"," 1455770159"," 978-1455770151",,"#39,474 in Books (See Top 100 in Books)"
" Pharmacology ",,91,"$22.93 ","LWW; Fifth edition (September 9, 2015)"," 1451193432"," 978-1451193435",,"#39,519 in Books (See Top 100 in Books)"
" Pharmacology ",,92,"$24.99 ",,,," B01MSAO9EZ","#50,806 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,93,"$33.16 ","McGraw-Hill Education / Medical; 3 edition (May 13, 2013)"," 0071792910"," 978-0071792912",,"#40,574 in Books (See Top 100 in Books)"
" Pharmacology ",,94,"$12.83 ","For Dummies; 1 edition (May 3, 2011)"," 0470930640"," 978-0470930649",,"#40,634 in Books (See Top 100 in Books)"
" Pharmacology ",,95,"$36.95 ","Springer Publishing Company; 1 edition (April 25, 2017)"," 082616658X"," 978-0826166586",,"#41,109 in Books (See Top 100 in Books)"
" Pharmacology ",,96,"$80.71 ","Park Street Press (May 5, 2005)"," 0892819782"," 978-0892819782",,"#42,517 in Books (See Top 100 in Books)"
" Pharmacology ",,97,"$28.12 ","F.A. Davis Company; 6 edition (February 28, 2014)"," 0803638469"," 978-0803638464",,"#42,969 in Books (See Top 100 in Books)"
" Pharmacology ",,98,"$11.61 ","Avery; 5 edition (December 3, 2013)"," 1583335447"," 978-1583335444",,"#43,230 in Books (See Top 100 in Books)"
" Pharmacology ",,99,"$9.99 ",,,," B00UCHVKJG","#55,214 Paid in Kindle Store (See Top 100 Paid in Kindle Store)"
" Pharmacology ",,100,"$13.48 ","Chelsea Green Publishing; 1st Edition edition (March 1, 2002)"," 1890132888"," 978-1890132880",,"#44,115 in Books (See Top 100 in Books)"
" Pharmacology ",Cardiovascular,1,"$14.95 ","CreateSpace Independent Publishing Platform (September 5, 2017)"," 1976144701"," 978-1976144707",,"#69,608 in Books (See Top 100 in Books)"
" Pharmacology ",Cardiovascular,2,"$64.08 ","Saunders; 8 edition (February 6, 2013)"," 1455733229"," 978-1455733224",,"#303,943 in Books (See Top 100 in Books)"
" Pharmacology ",Cardiovascular,3,"$16.42 ","Lilac Press; 2 edition (September 5, 2000)"," 0966256875"," 978-0966256871",,"#968,015 in Books (See Top 100 in Books)"
" Pharmacology ",Cardiovascular,4,"$7.95 ","Saunders; 7th edition (December 15, 2008)"," 1416061584"," 978-1416061588",,"#1,148,142 in Books (See Top 100 in Books)"
" Pharmacology ",Cardiovascular,5,"$4.79 ","Simon & Schuster; 1st edition (March 1, 1995)"," 0684804174"," 978-0684804170",,"#1,170,718 in Books (See Top 100 in Books)"
" Pharmacology ",Cardiovascular,6,"$67.29 ","Wiley-Blackwell; 2 edition (September 11, 2007)"," 1405163518"," 978-1405163514",,"#1,179,520 in Books (See Top 100 in Books)"
